date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-03-19,021031,未知品种,1,20,正常,-25.61,44.58,-0.16,1.6537
2026-03-19,002207,未知品种,5,5,🔥极高胜率(背离),-27.47,3.19,-6.01,2.876
2026-03-19,018558,未知品种,1,14,正常,-23.47,38.66,-0.81,1.1628
2026-03-19,012429,未知品种,1,1,正常,-20.44,39.55,-1.11,1.0686
2026-03-19,011068,未知品种,5,1,🔥极高胜率(背离),-21.38,0.51,-7.45,5.486
2026-03-19,021674,未知品种,5,1,🔥极高胜率(背离),-24.73,0.73,-6.58,1.5815
2026-03-19,019599,未知品种,1,14,正常,-23.45,38.79,-0.75,1.0944
2026-03-19,008182,未知品种,3,7,✅高胜率区,-27.98,13.36,-3.68,0.8798
2026-03-19,014243,未知品种,3,1,✅高胜率区,-20.02,16.28,-2.92,1.9148
2026-03-19,001770,未知品种,3,1,✅高胜率区,-22.9,10.84,-4.0,2.101
2026-03-19,003305,未知品种,5,1,🔥极高胜率(背离),-23.63,0.0,-7.04,4.962
2026-03-19,013466,未知品种,3,6,✅高胜率区,-23.68,17.91,-2.59,1.1192
2026-03-19,018168,未知品种,5,1,🔥极高胜率(背离),-23.71,0.0,-7.56,1.8323
2026-03-19,004433,未知品种,5,1,🔥极高胜率(背离),-23.47,0.0,-7.62,1.8562
2026-03-19,020635,未知品种,1,14,正常,-23.04,40.12,-0.67,1.5446
2026-03-19,020398,未知品种,1,18,正常,-23.1,49.89,0.67,1.5669
2026-03-18,006328,未知品种,1,18,正常,-24.11,52.42,0.68,0.988
2026-03-19,016708,未知品种,5,1,🔥极高胜率(背离),-23.74,0.0,-7.56,1.8096
